pipeline,competitor,script_group_id,group_size,ads,winners,win_ratio,replication_types
facebook,lingo-ai,lingo-ai-g0000,9,9,0,0.0,exact_replica;original;reworded_replica
facebook,lingo-ai,lingo-ai-g0001,8,8,8,1.0,exact_replica;original
facebook,lingo-ai,lingo-ai-g0002,5,5,5,1.0,exact_replica;original;visual_variant
facebook,lingo-ai,lingo-ai-g0003,4,4,1,0.25,exact_replica;original
facebook,lingo-ai,lingo-ai-g0004,4,4,0,0.0,exact_replica;original;translation_replica
facebook,lingo-ai,lingo-ai-g0005,4,4,1,0.25,exact_replica;original
facebook,lingo-ai,lingo-ai-g0006,4,4,0,0.0,exact_replica;original
facebook,lingo-ai,lingo-ai-g0007,3,3,1,0.333,exact_replica;original
facebook,lingo-ai,lingo-ai-g0008,3,3,1,0.333,exact_replica;original
facebook,lingo-ai,lingo-ai-g0009,3,3,0,0.0,exact_replica;original
facebook,lingo-ai,lingo-ai-g0010,3,3,1,0.333,original;visual_variant
facebook,lingo-ai,lingo-ai-g0011,3,3,1,0.333,original;reworded_replica
facebook,lingo-ai,lingo-ai-g0012,3,3,1,0.333,exact_replica;original
facebook,lingo-ai,lingo-ai-g0013,3,3,1,0.333,exact_replica;original
facebook,lingo-ai,lingo-ai-g0014,2,2,0,0.0,exact_replica;original
facebook,lingo-ai,lingo-ai-g0015,2,2,0,0.0,exact_replica;original
facebook,lingo-ai,lingo-ai-g0016,2,2,0,0.0,exact_replica;original
facebook,lingo-ai,lingo-ai-g0017,2,2,0,0.0,exact_replica;original
facebook,lingo-ai,lingo-ai-g0018,2,2,0,0.0,exact_replica;original
facebook,lingo-ai,lingo-ai-g0019,2,2,1,0.5,original;reworded_replica
facebook,lingo-ai,lingo-ai-g0020,2,2,1,0.5,exact_replica;original
facebook,lingo-ai,lingo-ai-g0021,2,2,0,0.0,exact_replica;original
facebook,lingo-ai,lingo-ai-g0022,2,2,0,0.0,exact_replica;original
facebook,lingo-ai,lingo-ai-g0023,2,2,1,0.5,exact_replica;original
facebook,lingo-ai,lingo-ai-g0024,2,2,0,0.0,exact_replica;original
facebook,lingo-ai,lingo-ai-g0025,2,2,0,0.0,exact_replica;original
facebook,lingo-ai,lingo-ai-g0026,2,2,1,0.5,exact_replica;original
facebook,lingo-ai,lingo-ai-g0027,2,2,2,1.0,exact_replica;original
facebook,lingo-ai,lingo-ai-g0028,2,2,2,1.0,exact_replica;original
facebook,lingo-ai,lingo-ai-g0029,2,2,1,0.5,exact_replica;original
facebook,lingo-ai,lingo-ai-g0030,2,2,0,0.0,exact_replica;original
facebook,lingo-ai,lingo-ai-g0031,2,2,1,0.5,exact_replica;original
facebook,lingo-ai,lingo-ai-g0032,2,2,0,0.0,exact_replica;original
facebook,lingo-ai,lingo-ai-g0033,2,2,1,0.5,exact_replica;original
facebook,lingo-ai,lingo-ai-g0034,2,2,0,0.0,exact_replica;original
facebook,lingo-ai,lingo-ai-g0035,2,2,0,0.0,exact_replica;original
facebook,lingo-ai,lingo-ai-g0036,2,2,0,0.0,exact_replica;original
facebook,lingo-ai,lingo-ai-g0037,2,2,0,0.0,exact_replica;original
facebook,lingo-ai,lingo-ai-g0038,2,2,0,0.0,exact_replica;original
facebook,lingo-ai,lingo-ai-g0039,2,2,0,0.0,exact_replica;original
facebook,lingo-ai,lingo-ai-g0040,2,2,0,0.0,exact_replica;original
facebook,lingo-ai,lingo-ai-g0041,2,2,0,0.0,exact_replica;original
facebook,lingo-ai,lingo-ai-g0042,2,2,1,0.5,exact_replica;original
facebook,lingo-ai,lingo-ai-g0043,2,2,1,0.5,exact_replica;original
facebook,lingo-ai,lingo-ai-g0044,2,2,0,0.0,exact_replica;original
facebook,lingo-ai,lingo-ai-g0045,2,2,0,0.0,original;reworded_replica
facebook,lingo-ai,lingo-ai-g0046,1,1,0,0.0,unique
facebook,lingo-ai,lingo-ai-g0047,1,1,0,0.0,unique
facebook,lingo-ai,lingo-ai-g0048,1,1,0,0.0,unique
facebook,lingo-ai,lingo-ai-g0049,1,1,0,0.0,unique
facebook,lingo-ai,lingo-ai-g0050,1,1,0,0.0,unique
facebook,lingo-ai,lingo-ai-g0051,1,1,1,1.0,unique
facebook,lingo-ai,lingo-ai-g0052,1,1,0,0.0,unique
facebook,lingo-ai,lingo-ai-g0053,1,1,0,0.0,unique
facebook,lingo-ai,lingo-ai-g0054,1,1,0,0.0,unique
facebook,lingo-ai,lingo-ai-g0055,1,1,0,0.0,unique
facebook,lingo-ai,lingo-ai-g0056,1,1,1,1.0,unique
facebook,lingo-ai,lingo-ai-g0057,1,1,0,0.0,unique
facebook,lingo-ai,lingo-ai-g0058,1,1,1,1.0,unique
facebook,lingo-ai,lingo-ai-g0059,1,1,0,0.0,unique
facebook,lingo-ai,lingo-ai-g0060,1,1,0,0.0,unique
facebook,lingo-ai,lingo-ai-g0061,1,1,0,0.0,unique
facebook,lingo-ai,lingo-ai-g0062,1,1,0,0.0,unique
facebook,lingo-ai,lingo-ai-g0063,1,1,0,0.0,unique
facebook,lingo-ai,lingo-ai-g0064,1,1,0,0.0,unique
facebook,lingo-ai,lingo-ai-g0065,1,1,0,0.0,unique
facebook,lingo-ai,lingo-ai-g0066,1,1,0,0.0,unique
facebook,lingo-ai,lingo-ai-g0067,1,1,1,1.0,unique
facebook,lingo-ai,lingo-ai-g0068,1,1,0,0.0,unique
facebook,lingo-ai,lingo-ai-g0069,1,1,0,0.0,unique
facebook,lingo-ai,lingo-ai-g0070,1,1,1,1.0,unique
facebook,lingo-ai,lingo-ai-g0071,1,1,0,0.0,unique
facebook,lingo-ai,lingo-ai-g0072,1,1,0,0.0,unique
facebook,lingo-ai,lingo-ai-g0073,1,1,0,0.0,unique
facebook,lingo-ai,lingo-ai-g0074,1,1,0,0.0,unique
facebook,lingo-ai,lingo-ai-g0075,1,1,0,0.0,unique
facebook,lingo-ai,lingo-ai-g0076,1,1,0,0.0,unique
facebook,lingo-ai,lingo-ai-g0077,1,1,0,0.0,unique
facebook,lingo-ai,lingo-ai-g0078,1,1,0,0.0,unique
facebook,lingo-ai,lingo-ai-g0079,1,1,0,0.0,unique
facebook,lingo-ai,lingo-ai-g0080,1,1,0,0.0,unique
facebook,lingo-ai,lingo-ai-g0081,1,1,1,1.0,unique
facebook,lingo-ai,lingo-ai-g0082,1,1,1,1.0,unique
facebook,lingo-ai,lingo-ai-g0083,1,1,1,1.0,unique
facebook,lingo-ai,lingo-ai-g0084,1,1,0,0.0,unique
