Language,Idea / Ad Name,Category,Concept Brief,resolved_ad_id,resolved_competitor,seed_language,english_script_gdoc_url,language_script_gdoc_url,review_priority,review_notes,safety_verdict,status
Hindi,Giant Screen - Miss Nova Why can't you speak English,Competitor Replication,Giant Screen Miss Nova asks the man why can't he speak English and provides a solution,1724197118748377,mysivi,,,https://docs.google.com/document/d/19vEZshtF0TENcgRvoEvKLBkvFyBwqMxKuGQ2QW_3V4M/edit?usp=drivesdk,🔴 Priority review,soften the progress claim with a hedge ('start to' / 'can') (G1.1),block,new
Hindi,"Niche, Cache, Aisle Pronounciation",Competitor Replication,Pronounciation errors and correction in the same way,1470471397608970,mysivi,,,https://docs.google.com/document/d/1u9Wua4t53caD2xPyNyzHgmPawSnj69CXpzVTtAng89A/edit?usp=drivesdk,🔴 Priority review,soften the progress claim with a hedge ('start to' / 'can') (G1.1),block,new
Hindi,Schedule - Split Screen - Pronounciation,Competitor Replication,You will see some errors in the vertical split screen,954609790259093,mysivi,,,https://docs.google.com/document/d/1Cw0eeegIOXhYZ3pleKZWjVHm4q1wIV4xzll_uNsCv94/edit?usp=drivesdk,🔴 Priority review,make the shame hook resolve in dignity/triumph (G3.1),block,new
Hindi,What do you do in the morning - Girl graduation day speech,Competitor Replication,A girl on stage talks about why scrolling through Instagram won't help much.,1458602939352865,mysivi,Marathi,https://docs.google.com/document/d/14IyujXY3YB9GF4KKcwczIyJP11s9EcX90YLz_0qRB6k/edit?usp=drivesdk,https://docs.google.com/document/d/1n6FdnpspHAhY_kZE7KnN0WuXK7moKpIemYyyewOwRmA/edit?usp=drivesdk,🟡 Review suggested,don't name/trash a competitor or 3rd-party platform (G2.1),flag,new
Hindi,I'm having two brothers,Competitor Replication,Giant screen grammar correction with a girl sitting in a high-rise building - exact replication,1257639629903436,mysivi,Marathi,https://docs.google.com/document/d/1jexQkFROweOhpoW03bC4pclX7n6m9WXlgCedv1mgI1A/edit?usp=drivesdk,https://docs.google.com/document/d/1cmgJntl_Wyi_rDxfT561Yk85pb3SHHyINh7L2sJR9ps/edit?usp=drivesdk,✅ Already reviewed (prior round),,,pre-existing
Hindi,Robot brain Stage with ASMR,Competitor Replication,ASMR Video in the bottom half - Robot speech in the top half as shown in the video.,1682634462923678,mysivi,Tamil,https://docs.google.com/document/d/1spwPS7qCC0gNACPHNqkCBlaFfeQlCClf9ZpBZnTKScQ/edit?usp=drivesdk,https://docs.google.com/document/d/1ORfQfYEsrwTaYzCZ9_iqlqaspFCvIaSWk7SFV2KyG5Q/edit?usp=drivesdk,✅ Already reviewed (prior round),,,pre-existing
Hindi,GrandMa practicising English,Competitor Replication,GrandMa practicising English with grand daughter.,2168403830564045,mysivi,Marathi,https://docs.google.com/document/d/1epkaH7oXZn_9r-y5-yT47j1ttyHT1ksjewijL7HaFsQ/edit?usp=drivesdk,https://docs.google.com/document/d/1ZfkFMY2snKcZr2LnESliE3Dqf2YzcU4IFTTQ2QilT6M/edit?usp=drivesdk,🟢 Standard,Auto-checks clean — routine verify.,pass,new
Hindi,WhatsApp conversation to speak English,Competitor Replication,Whatsapp messages to pitch Supernova,1228215292748737,mysivi,English,https://docs.google.com/document/d/1S8tqJK1sl1z6R4_7xMGfF7sdh9HuS6Wr4L_BxArWYKw/edit?usp=drivesdk,https://docs.google.com/document/d/1mOs31Dx_CDPp0ynhh8zFgNdW_FNW4rOgJAMkWeWxNjA/edit?usp=drivesdk,✅ Already reviewed (prior round),,,pre-existing
Hindi,"Print Paper A for Apple, B for Ball",Competitor Replication,Print Paper translation.,1228215292748737,mysivi,English,https://docs.google.com/document/d/1BS2mML5cbkLoopflQ4Q8RLVAEwTaW5HX3O_aHn-udcU/edit?usp=drivesdk,https://docs.google.com/document/d/16rTEaVYgW5x009Cu64w4i0XyJrFeOTUQUUEjTbOqoNI/edit?usp=drivesdk,🟢 Standard,Auto-checks clean — routine verify.,pass,new
Hindi,I'm adding Oil - Miss Nova correction,Competitor Replication,Split-screen correction with a girl adding oil to her hair while Miss Nova corrects her from the top half,4364553960461634,mysivi,Tamil,https://docs.google.com/document/d/1EL2_n1EHUiF7XWtVULTZHoBfCCzoXpNTpzrh_-DKNqo/edit?usp=drivesdk,https://docs.google.com/document/d/1mgKiNOZK0ZBaPLIkvmQzZdG6rXBVLxWD51vFkjTDirQ/edit?usp=drivesdk,🔴 Priority review,price/discount shown — remove the hard rupee figure or confirm it's the source visual (G6.1),block,new
Hindi,Removing my jacket - Robot Correction,Competitor Replication,Split Screen Grammar Correction with Robot.,824655086830758,mysivi,Marathi,https://docs.google.com/document/d/1xOER1LdDk-YUrLn3kBmGd2FxQ8ynpAibBIOkgCHGHR4/edit?usp=drivesdk,https://docs.google.com/document/d/1TiEiTVmC9vWUhhCcD74vbTEo-dKhK7rG0FDzZvlNZ_w/edit?usp=drivesdk,🔴 Priority review,price/discount shown — remove the hard rupee figure or confirm it's the source visual (G6.1),block,new
Hindi,Rajma - Chawal - Naan,Competitor Replication,Rajma leaves Chawal as Naan insults Chawal for not knowing English. Chawal learns Engliish,2154159342046433,mysivi,Marathi,https://docs.google.com/document/d/1JLuMFZSpIdG3JkrdZjVfnWbNkzqNPvlXK8zYQq08PTU/edit?usp=drivesdk,https://docs.google.com/document/d/1oBQIyFfZ39Qh_gtlonDXojjyei6YFKDpX3tpKxMXLTs/edit?usp=drivesdk,🔴 Priority review,remove the job/income/visa/exam outcome promise (G1.2),block,new
Hindi,Interview set up - Camera shoots laptop,Competitor Replication,Video has been done and then posted as a camera shoot to give the ugly angle.,1063692802211225,mysivi,English,https://docs.google.com/document/d/1_U7dBBFxoX_YWws3A2knBLfPP9MNOUYKi9cU9LKe7yU/edit?usp=drivesdk,https://docs.google.com/document/d/1k1VkA5yPw0p3VoqwFGLcDnwhAUwmGXXAjCf-So7PPYI/edit?usp=drivesdk,🔴 Priority review,remove fake credential / authority claim (G1.3),block,new
Hindi,Whatsapp Text + Meme,Competitor Replication,The same meme in the bottom half and and the same scrolling text in WhatsApp on the top half,1592044018737354,mysivi,Tamil,https://docs.google.com/document/d/1z-TJtcR1iJsOOJtHUcdIZXfTbsCp7FMAUUXVaUqCILQ/edit?usp=drivesdk,https://docs.google.com/document/d/1KKOUUzXSc4EKV24tCgWzZWzh_IqomNxdVyVxAot8oDk/edit?usp=drivesdk,🟢 Standard,Auto-checks clean — routine verify.,pass,new
Hindi,Amir Khan Meme - Before and After,Competitor Replication,Before and after meme with Americans' reaction,876285282244370,mysivi,Hindi,https://docs.google.com/document/d/1bTbblWqw5diHdlM2I7SGJASXMVYtDqE7Ve7BsDV7FTg/edit?usp=drivesdk,https://docs.google.com/document/d/1vI4Qywubm6iU-EbXaShek6vxfkpthfJanqjBuXBtXFA/edit?usp=drivesdk,🟢 Standard,Auto-checks clean — routine verify.,pass,new
Hindi,Use Supernova to be confident,Competitor Replication,Stage Talk. Remove College Mention,1462388985537185,mysivi,Tamil,https://docs.google.com/document/d/1XckLFeQKzWkOscxyddCvF72KpoLdy6KCvpPtqeW7Kd8/edit?usp=drivesdk,https://docs.google.com/document/d/1AFZlrjVbbStpBiQhMxS3SGvN9BP96me-BZX5_3DOOoI/edit?usp=drivesdk,✅ Already reviewed (prior round),,,pre-existing
Hindi,I'm Shubham - On a beach,Competitor Replication,I'm Shubham giant screen on a beach,1587377062318723,mysivi,Tamil,https://docs.google.com/document/d/1fRoQg5gY-lxmIO6j_APR4_ocpqsIm7XPam9wJAQcr74/edit?usp=drivesdk,https://docs.google.com/document/d/1mda3a6byl_Ea2DIEtVW4eiBbQCv6SHd5kXGZeRycjhw/edit?usp=drivesdk,🔴 Priority review,soften the progress claim with a hedge ('start to' / 'can') (G1.1),block,new
Hindi,Product OTS Shot,Competitor Replication,OTS Shot - Ugly angle and Zoom-in is the key,2528689397550560,mysivi,Tamil,https://docs.google.com/document/d/1oTscBACjQ-xVkdc36BSpiQqrffSSjFGHLC94cixEap4/edit?usp=drivesdk,https://docs.google.com/document/d/1GD2DFhI9F2ZF3JX-UjuCYZtjoQR8jmTGhj003gvA8qc/edit?usp=drivesdk,🟢 Standard,Auto-checks clean — routine verify.,pass,new
